sim,belief,missionOutcome,timeStep,finalPose,visitedVertices,simTime,robotIds,robotDeathLocation,robotDeathTime,robotDeathCause
sim3,000,TARGET FOUND,5,"[32.36933451251631, 9.95151098439943]","[[2, 3, 4, 5, 6], [2, 3, 4, 5, 6, 7], [2, 3, 4, 5, 6]]",108,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim3,007,TARGET FOUND,16,"[3.82578856983366, 27.44931852080749]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 16, 19, 20], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 32, 33], [2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 14, 13, 16, 19, 22]]",301,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim3,009,TARGET FOUND,13,"[31.747148813628723, 24.89655261434478]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 26], [2, 3, 4, 5, 6, 7, 9, 11, 13]]",263,"['drone', 'jackal0', 'jackal1']","[None, None, 16]","[None, None, 13]","[None, None, 'Stuck']"
sim3,008,TARGET FOUND,11,"[22.2505270621514, 24.82992195277823]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 11, 12], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 20], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19]]",203,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim3,006,TARGET FOUND,13,"[31.72522554282657, 24.868250276927874]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16]]",273,"['drone', 'jackal0', 'jackal1']","[None, None, 19]","[None, None, 13]","[None, None, 'Stuck']"
sim3,001,TARGET FOUND,7,"[30.3002210005233, 14.19465102769035]","[[2, 3, 4, 5, 6, 7, 9, 10], [2, 3, 4, 5, 6, 7, 9, 11], [2, 3, 4, 5, 6]]",178,"['drone', 'jackal0', 'jackal1']","[None, None, 7]","[None, None, 7]","[None, None, 'Stuck']"
sim3,004,TARGET FOUND,17,"[12.966804601783046, 25.15207901387647]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 16, 19, 22, 25, 26], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 32, 31, 34], [2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 13, 16, 19, 20, 19, 20, 19, 16]]",382,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim3,003,TARGET FOUND,22,"[-26.883695512335116, 23.637210527435844]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 22, 25, 28, 31, 34], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 32, 31, 34, 37, 38, 39, 40, 41], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 20, 19, 22, 25, 26, 25, 22, 19, 16, 19, 16, 19]]",438,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim3,002,TARGET FOUND,13,"[20.32488969006348, 22.76553995211953]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 11, 13, 16, 19], [2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 17, 18, 17, 14], [2, 3, 4, 5, 6, 7, 9, 10, 9, 11, 13, 16, 19, 22]]",243,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim3,005,TARGET FOUND,48,"[27.03436889696651, 27.53220210890466]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 11, 12, 11, 13, 16, 19, 20, 23, 24, 23, 20, 19, 22, 25, 26, 29, 30, 27, 26, 25, 28, 31, 32, 35, 35, 36, 36, 35, 35, 35, 35, 35, 35, 32, 31, 28, 25, 22, 19, 16], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 37, 38, 39, 40, 41, 42, 44, 46, 45, 43, 41, 40, 39, 38, 37, 34, 31, 31, 28, 28, 25, 25, 25, 25, 25, 25, 22, 19, 16, 13, 14, 17, 18], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19]]",747,"['drone', 'jackal0', 'jackal1']","[None, None, 20]","[None, None, 48]","[None, None, 'Stuck']"
sim4,000,TARGET FOUND,5,"[32.2771434540084, 9.765807621551467]","[[2, 3, 4, 5, 6, 7], [2, 3, 4, 5, 6], [2, 3, 4, 5, 6]]",110,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,007,TARGET FOUND,16,"[3.8328388490054115, 27.513954470913713]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 16, 19, 20], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 32, 33], [2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 14, 13, 16, 19, 22]]",307,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,009,TARGET FOUND,13,"[31.759493340344772, 24.89781455988427]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 20, 19, 22]]",238,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,008,TARGET FOUND,11,"[22.053484661867465, 24.55973675055299]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 11, 12, 11], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 20], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19]]",199,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,006,TARGET FOUND,13,"[31.757873918179463, 24.88802641247165]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 26]]",231,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,001,TARGET FOUND,7,"[30.27933430627628, 14.207085780505832]","[[2, 3, 4, 5, 6, 7, 9, 10], [2, 3, 4, 5, 6, 7, 9, 11], [2, 3, 4, 5, 6, 7, 9, 11]]",139,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,004,TARGET FOUND,17,"[12.966850094613726, 25.16865955871085]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 16, 19, 22, 25, 26], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 32, 31, 34], [2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 13, 16, 19, 20, 19, 20, 19, 16]]",328,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,003,TARGET FOUND,22,"[-26.8818875998887, 23.607983037803947]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14, 13, 16, 19, 22, 25, 28, 31, 34], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 32, 31, 34, 37, 38, 39, 40, 41], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 20, 19, 22, 25, 26, 25, 22, 19, 16, 19, 16, 19]]",449,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,002,TARGET FOUND,13,"[20.187629806403397, 22.73099147404062]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 11, 13, 16, 19], [2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 17, 18, 17, 14], [2, 3, 4, 5, 6, 7, 9, 10, 9, 11, 13, 16, 19, 22]]",233,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim4,005,TARGET FOUND,41,"[27.084624375038956, 27.666111595460613]","[[2, 3], [2, 3, 4, 5, 6, 7, 8, 7, 9, 11, 12, 11, 13, 16, 19, 20, 23, 24, 23, 20, 19, 22, 25, 26, 29, 30, 27, 26, 25, 28, 31, 32, 35, 36, 35, 32, 31, 28, 25, 22, 19], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 34, 37, 38, 39, 40, 41, 42, 44, 46, 45, 43, 41, 40, 39, 38, 37, 34, 31, 28, 25, 22, 19, 16, 13, 14, 17, 18]]",635,"['drone', 'jackal0', 'jackal1']","[4, None, None]","[41, None, None]","['Stuck', None, None]"
sim5,009,TARGET FOUND,13,"[31.741102187331276, 24.882678586804353]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 14], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 26], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16]]",268,"['drone', 'jackal0', 'jackal1']","[None, None, 19]","[None, None, 13]","[None, None, 'Stuck']"
sim5,007,TARGET FOUND,22,"[3.7889178433324853, 27.50236731746228]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 10, 9, 11, 13, 16, 19, 20, 20, 21, 20, 19, 22, 25], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 22, 25, 28, 31, 32, 31, 34, 37, 38, 39, 40], [2, 3, 4, 5, 6, 7, 9, 11, 13, 14, 15, 14, 13, 16, 19, 22, 19, 22, 25, 28, 31, 32, 33]]",428,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim5,000,TARGET FOUND,5,"[32.23179205259809, 9.80992138424619]","[[2, 3, 4, 5, 6, 7], [2, 3, 4, 5, 6], [2, 3, 4, 5, 6]]",109,"['drone', 'jackal0', 'jackal1']","[None, None, None]","[None, None, None]","[None, None, None]"
sim5,008,TARGET FOUND,11,"[22.224791711211957, 24.81527114949594]","[[2, 3, 4, 5, 6, 7, 8, 7, 9, 11, 12], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16, 19, 20], [2, 3, 4, 5, 6, 7, 9, 11, 13, 16]]",237,"['drone', 'jackal0', 'jackal1']","[None, None, 19]","[None, None, 11]","[None, None, 'Stuck']"
